Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
Guatemala,45309,1761,32455,11093,256,27,843,Americas
Guinea,7055,45,6257,753,47,2,105,Africa
Guinea-Bissau,1954,26,803,1125,0,0,0,Africa
Guyana,389,20,181,188,19,0,0,Americas
Haiti,7340,158,4365,2817,25,1,0,Americas
Holy See,12,0,12,0,0,0,0,Europe
Honduras,39741,1166,5039,33536,465,50,117,Americas
Hungary,4448,596,3329,523,13,0,0,Europe
Iceland,1854,10,1823,21,7,0,0,Europe
India,1480073,33408,951166,495499,44457,637,33598,South-East Asia
Indonesia,100303,4838,58173,37292,1525,57,1518,South-East Asia
Iran,293606,15912,255144,22550,2434,212,1931,Eastern Mediterranean
Iraq,112585,4458,77144,30983,2553,96,1927,Eastern Mediterranean
Ireland,25892,1764,23364,764,11,0,0,Europe
Israel,63985,474,27133,36378,2029,4,108,Europe
Italy,246286,35112,198593,12581,168,5,147,Europe
Jamaica,853,10,714,129,11,0,0,Americas
Japan,31142,998,21970,8174,594,0,364,Western Pacific
Jordan,1176,11,1041,124,8,0,0,Eastern Mediterranean
Kazakhstan,84648,585,54404,29659,1526,0,1833,Europe
Kenya,17975,285,7833,9857,372,5,90,Africa
Kosovo,7413,185,4027,3201,496,16,274,Europe
Kuwait,64379,438,55057,8884,606,5,684,Eastern Mediterranean
Kyrgyzstan,33296,1301,21205,10790,483,24,817,Europe
Laos,20,0,19,1,0,0,0,Western Pacific
Latvia,1219,31,1045,143,0,0,0,Europe
Lebanon,3882,51,1709,2122,132,0,17,Eastern Mediterranean
Lesotho,505,12,128,365,0,0,0,Africa
Liberia,1167,72,646,449,5,0,5,Africa
Libya,2827,64,577,2186,158,4,24,Eastern Mediterranean
Liechtenstein,86,1,81,4,0,0,0,Europe
Lithuania,2019,80,1620,319,11,0,4,Europe
Luxembourg,6321,112,4825,1384,49,0,178,Europe
Madagascar,9690,91,6260,3339,395,6,681,Africa
Malawi,3664,99,1645,1920,24,0,6,Africa
Malaysia,8904,124,8601,179,7,0,1,Western Pacific
Maldives,3369,15,2547,807,67,0,19,South-East Asia
Mali,2513,124,1913,476,3,1,2,Africa
Malta,701,9,665,27,1,0,0,Europe
Mauritania,6208,156,4653,1399,37,0,223,Africa
Mauritius,344,10,332,2,0,0,0,Africa
Mexico,395489,44022,303810,47657,4973,342,8588,Americas
Moldova,23154,748,16154,6252,120,13,245,Europe
Monaco,116,4,104,8,0,0,0,Europe
Mongolia,289,0,222,67,1,0,4,Western Pacific
Montenegro,2893,45,809,2039,94,2,70,Europe
Morocco,20887,316,16553,4018,609,3,115,Eastern Mediterranean
Mozambique,1701,11,0,1690,32,0,0,Africa
Namibia,1843,8,101,1734,68,0,26,Africa
Nepal,18752,48,13754,4950,139,3,626,South-East Asia
Netherlands,53413,6160,189,47064,419,1,0,Europe
New Zealand,1557,22,1514,21,1,0,1,Western Pacific
Nicaragua,3439,108,2492,839,0,0,0,Americas
Niger,1132,69,1027,36,0,0,0,Africa
Nigeria,41180,860,18203,22117,648,2,829,Africa
North Macedonia,10213,466,5564,4183,127,6,137,Europe
Norway,9132,255,8752,125,15,0,0,Europe
Oman,77058,393,57028,19637,1053,9,1729,Eastern Mediterranean
Pakistan,274289,5842,241026,27421,1176,20,3592,Eastern Mediterranean
Panama,61442,1322,35086,25034,1146,28,955,Americas
Papua New Guinea,62,0,11,51,0,0,0,Western Pacific
Paraguay,4548,43,2905,1600,104,2,111,Americas
Peru,389717,18418,272547,98752,13756,575,4697,Americas
Philippines,82040,1945,26446,53649,1592,13,336,Western Pacific
Poland,43402,1676,32856,8870,337,5,103,Europe
Portugal,50299,1719,35375,13205,135,2,158,Europe
Qatar,109597,165,106328,3104,292,0,304,Eastern Mediterranean
Romania,45902,2206,25794,17902,1104,19,151,Europe
Russia,816680,13334,602249,201097,5607,85,3077,Europe
Rwanda,1879,5,975,899,58,0,57,Africa
Saint Kitts and Nevis,17,0,15,2,0,0,0,Americas
Saint Lucia,24,0,22,2,0,0,0,Americas
Saint Vincent and the Grenadines,52,0,39,13,0,0,0,Americas
San Marino,699,42,657,0,0,0,0,Europe
Sao Tome and Principe,865,14,734,117,2,0,38,Africa
Saudi Arabia,268934,2760,222936,43238,1993,27,2613,Eastern Mediterranean
Senegal,9764,194,6477,3093,83,3,68,Africa
Serbia,24141,543,0,23598,411,9,0,Europe
Seychelles,114,0,39,75,0,0,0,Africa
Sierra Leone,1783,66,1317,400,0,0,4,Africa
Singapore,50838,27,45692,5119,469,0,171,Western Pacific
Slovakia,2181,28,1616,537,2,0,39,Europe
Slovenia,2087,116,1733,238,5,0,55,Europe
Somalia,3196,93,1543,1560,18,0,22,Eastern Mediterranean
South Africa,452529,7067,274925,170537,7096,298,9848,Africa
South Korea,14203,300,13007,896,28,1,102,Western Pacific
South Sudan,2305,46,1175,1084,43,1,0,Africa
Spain,272421,28432,150376,93613,0,0,0,Europe
Sri Lanka,2805,11,2121,673,23,0,15,South-East Asia
Sudan,11424,720,5939,4765,39,3,49,Eastern Mediterranean
Suriname,1483,24,925,534,44,1,35,Americas
Sweden,79395,5700,0,73695,398,3,0,Europe
Switzerland,34477,1978,30900,1599,65,1,200,Europe
Syria,674,40,0,634,24,2,0,Eastern Mediterranean
Taiwan*,462,7,440,15,4,0,0,Western Pacific
Tajikistan,7235,60,6028,1147,43,1,58,Europe
Tanzania,509,21,183,305,0,0,0,Africa
Thailand,3297,58,3111,128,6,0,2,South-East Asia
Timor-Leste,24,0,0,24,0,0,0,South-East Asia
Togo,874,18,607,249,6,0,8,Africa
Trinidad and Tobago,148,8,128,12,1,0,0,Americas
Tunisia,1455,50,1157,248,3,0,15,Eastern Mediterranean
Turkey,227019,5630,210469,10920,919,17,982,Europe
US,4290259,148011,1325804,2816444,56336,1076,27941,Americas
Uganda,1128,2,986,140,13,0,4,Africa
Ukraine,67096,1636,37202,28258,835,11,317,Europe
United Arab Emirates,59177,345,52510,6322,264,1,328,Eastern Mediterranean
United Kingdom,301708,45844,1437,254427,688,7,3,Europe
Uruguay,1202,35,951,216,10,1,3,Americas
Uzbekistan,21209,121,11674,9414,678,5,569,Europe
Venezuela,15988,146,9959,5883,525,4,213,Americas
Vietnam,431,0,365,66,11,0,0,Western Pacific
West Bank and Gaza,10621,78,3752,6791,152,2,0,Eastern Mediterranean
Western Sahara,10,1,8,1,0,0,0,Africa
Yemen,1691,483,833,375,10,4,36,Eastern Mediterranean
Zambia,4552,140,2815,1597,71,1,465,Africa
Zimbabwe,2704,36,542,2126,192,2,24,Africa
